est_id,est_university_id,est_carrera,est_ciclo,est_gpa,est_is_gpa_verified,est_evidence_url,est_hours_available,est_availability,pub_id,pub_title,pub_max_hours,pub_schedule,pub_req_json,est_mandatory_match,est_skill_match_ratio,es_apto,est_h_skills,est_s_skills,pub_req_h_skills,pub_req_s_skills,pub_title_full,pub_description,pub_complexity
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",4b71f271-b4cb-4bb6-8ac7-9db446850e27,Desarrollo de Microservicio gRPC en Python,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Python"", ""gRPC"", ""Microservicios"", ""Pensamiento Cr\u00edtico""]",1,1.0,0,,,"Python, gRPC, Microservicios, Pensamiento Crítico","Trabajo en equipo, Comunicación",Desarrollo de Microservicio gRPC en Python,Implementación de comunicación eficiente mediante gRPC e hilos concurrentes para procesamiento de tareas pesadas en segundo plano.,Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",9a0fc209-46ff-473f-ad08-c6562fb3fda8,Construcción de Dashboard interactivo en Power BI,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Power BI/Tableau"", ""An\u00e1lisis de KPIs"", ""SQL"", ""Atenci\u00f3n al Detalle""]",1,1.0,0,,,"Power BI/Tableau, Análisis de KPIs, SQL, Atención al Detalle","Trabajo en equipo, Comunicación",Construcción de Dashboard interactivo en Power BI,Diseñar tableros de control de KPIs empresariales conectando fuentes de datos externas y automatizando la actualización periódica.,Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",c20ad7a4-ff49-48c2-97a5-6ed16ce4dce4,Procesamiento de Lenguaje Natural (NLP) e Integración de APIs de IA,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Natural Language Processing (NLP)"", ""Integraci\u00f3n de APIs de IA"", ""Python""]",1,1.0,0,,,"Natural Language Processing (NLP), Integración de APIs de IA, Python","Trabajo en equipo, Comunicación",Procesamiento de Lenguaje Natural (NLP) e Integración de APIs de IA,Desarrollo de pipeline para clasificación automática de comentarios de clientes integrando la API de OpenAI/HuggingFace.,Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",c34b2c98-f188-459c-bf68-3ad5d2dba6b8,Análisis Exploratorio de Datos de Ventas con Pandas,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Python"", ""Pandas"", ""Power BI/Tableau"", ""Orientaci\u00f3n a Resultados""]",1,1.0,0,,,"Python, Pandas, Power BI/Tableau, Orientación a Resultados","Trabajo en equipo, Comunicación",Análisis Exploratorio de Datos de Ventas con Pandas,Procesar y limpiar conjuntos de datos comerciales usando Pandas para generar reportes analíticos visuales.,Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",50830d56-18f5-4810-ab28-c8b818521b9e,Modelo Predictivo Clasificador con Scikit-Learn,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Python"", ""Scikit-learn"", ""Random Forest"", ""Vectores de Embedding""]",1,1.0,0,,,"Python, Scikit-learn, Random Forest, Vectores de Embedding","Trabajo en equipo, Comunicación",Modelo Predictivo Clasificador con Scikit-Learn,Implementación de modelos Random Forest y KNN para predecir la conversión de prospectos comerciales.,Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",e26b0a03-0e12-42e3-ae18-cc99997e227d,Diseño de Identidad Visual y Manual de Marca,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Identidad Visual"", ""Adobe Illustrator"", ""Branding"", ""Pensamiento Creativo e Innovaci\u00f3n""]",1,1.0,0,,,"Identidad Visual, Adobe Illustrator, Branding, Pensamiento Creativo e Innovación","Trabajo en equipo, Comunicación",Diseño de Identidad Visual y Manual de Marca,"Creación completa de logotipo, paleta cromática, tipografías y guía de estilo de marca para un emprendimiento juvenil.",Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",290c224e-c9e8-41cf-aed8-345fed790674,Diseño de Prototipo UI/UX en Figma para App Móvil,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Figma"", ""Experiencia de Usuario (UX)"", ""Dise\u00f1o de Interfaces (UI)""]",1,1.0,0,,,"Figma, Experiencia de Usuario (UX), Diseño de Interfaces (UI)","Trabajo en equipo, Comunicación",Diseño de Prototipo UI/UX en Figma para App Móvil,Elaboración de wireframes y prototipos navegables en alta fidelidad aplicando heurísticas de usabilidad para una plataforma educativa.,Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",b24637b3-6232-463e-82a2-e2f859ecab40,Ilustración Digital para Confección de Moda,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Ilustraci\u00f3n Digital de Moda"", ""Fichas T\u00e9cnicas de Confecci\u00f3n"", ""Patronaje de Moda""]",1,1.0,0,,,"Ilustración Digital de Moda, Fichas Técnicas de Confección, Patronaje de Moda","Trabajo en equipo, Comunicación",Ilustración Digital para Confección de Moda,Elaboración de fichas técnicas de ropa urbana y figurines digitales ilustrados en Photoshop e Illustrator.,Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",b453a199-e729-4807-9f91-c7976c19cb50,Elaboración de Planos Arquitectónicos 2D en AutoCAD,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""AutoCAD"", ""Planimetr\u00eda y Dibujo 2D"", ""Atenci\u00f3n al Detalle""]",1,1.0,0,,,"AutoCAD, Planimetría y Dibujo 2D, Atención al Detalle","Trabajo en equipo, Comunicación",Elaboración de Planos Arquitectónicos 2D en AutoCAD,"Digitalización y corrección de planos de distribución, cortes y elevaciones para vivienda unifamiliar.",Media
f4f7b721-aac2-4244-898d-361cca9474e6,59a91332-e18f-4e68-8061-fe83f4c7610f,Ingeniería de Software,7,15.0,0,,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}",37478b7e-aca8-43b0-90b7-175986149f88,Diseño de Embalaje y Packaging para Producto Gourmet,20,"{""mon"": ""11111111111111111111111111111111"", ""tue"": ""11111111111111111111111111111111"", ""wed"": ""11111111111111111111111111111111"", ""thu"": ""11111111111111111111111111111111"", ""fri"": ""11111111111111111111111111111111"", ""sat"": ""11111111111111111111111111111111"", ""sun"": ""11111111111111111111111111111111""}","[""Packaging"", ""Adobe Illustrator"", ""Adobe Photoshop"", ""Atenci\u00f3n al Detalle""]",1,1.0,0,,,"Packaging, Adobe Illustrator, Adobe Photoshop, Atención al Detalle","Trabajo en equipo, Comunicación",Diseño de Embalaje y Packaging para Producto Gourmet,Desarrollo de troqueles y diseño gráfico exterior para empaque de alimentos artesanales de exportación.,Media
